"id","name","address","city","latitude","longitude"
108,"RICHMOND COUNTY SAVINGS BANK","820 ANNADALE RD","STATEN ISLAND",40.541957,-74.177523
109,"TD BANK","929 HUGUENOT AVE","STATEN ISLAND",40.531617,-74.191453
110,"S I BANK & TRUST","900 HUGUENOT AVE","STATEN ISLAND",40.532315,-74.192047
111,"RICHMOND COUNTY SAVINGS BANK","4523 AMBOY RD","STATEN ISLAND",40.543323,-74.164355
112,"NORTHFIELD BANK","4355 AMBOY RD","STATEN ISLAND",40.545487,-74.160422
113,"TD BANK","4401 AMBOY RD","STATEN ISLAND",40.545148,-74.161038
114,"VICTORY STATE BANK","4142 HYLAN BLVD","STATEN ISLAND",40.538814,-74.148801
115,"HUDSON CITY SAVINGS BANK","4106 HYLAN BLVD","STATEN ISLAND",40.539849,-74.147941
116,"NEW YORK COMMUNITY BANK","2555 RICHMOND AVE","STATEN ISLAND",40.5849399,-74.168491
117,"CITIBANK","2825 RICHMOND AVE","STATEN ISLAND",40.577372,-74.169503
118,"CHASE","2845 RICHMOND AVE # 17","STATEN ISLAND",40.57661,-74.169547
119,"CHASE","2655 RICHMOND AVE # 2200","STATEN ISLAND",40.581367,-74.169013
120,"RICHMOND COUNTY SAVINGS BANK","2875 RICHMOND AVE","STATEN ISLAND",40.575897,-74.169596
121,"RICHMOND COUNTY SAVINGS BANK","2555 RICHMOND AVE # 1","STATEN ISLAND",40.5849399,-74.168491
122,"APPLE BANK FOR SAVINGS","2655 RICHMOND AVE # 1414","STATEN ISLAND",40.581367,-74.169013
123,"HSBC BANK","2655 RICHMOND AVE","STATEN ISLAND",40.581367,-74.169013
124,"SOVEREIGN BANK","2655 RICHMOND AVE","STATEN ISLAND",40.581367,-74.169013
125,"S I BANK & TRUST","43 RICHMOND HILL RD","STATEN ISLAND",40.588319,-74.166307
126,"S I BANK & TRUST","4310 AMBOY RD","STATEN ISLAND",40.54588,-74.159459
127,"NORTHFIELD BANK","3227 RICHMOND AVE","STATEN ISLAND",40.560333,-74.169707
128,"CAPITAL ONE BANK","150 GREAVES LN","STATEN ISLAND",40.554203,-74.143351
129,"RICHMOND COUNTY SAVINGS BANK","3879 AMBOY RD","STATEN ISLAND",40.551699,-74.147823
130,"S I BANK & TRUST","4025 AMBOY RD","STATEN ISLAND",40.549976,-74.150911
131,"QUEENS COUNTY SAVINGS BANK","3501 AMBOY RD","STATEN ISLAND",40.555717,-74.139908
132,"BANK OF AMERICA","2820 HYLAN BLVD","STATEN ISLAND",40.564145,-74.115937
133,"RICHMOND COUNTY SAVINGS BANK","3501 AMBOY RD","STATEN ISLAND",40.555717,-74.139908
134,"NORTHFIELD BANK","2706 HYLAN BLVD","STATEN ISLAND",40.566287,-74.113775
135,"CHASE","2754 HYLAN BLVD","STATEN ISLAND",40.565374,-74.114711
136,"CHASE","3155 AMBOY RD # 2","STATEN ISLAND",40.56456,-74.131818
137,"RBS CITIZENS","2754 HYLAN BLVD","STATEN ISLAND",40.565374,-74.114711
138,"S I BANK & TRUST","2700 HYLAN BLVD","STATEN ISLAND",40.56641,-74.11365
139,"RICHMOND COUNTY SAVINGS BANK","2595 HYLAN BLVD","STATEN ISLAND",40.568819,-74.111612
140,"CHASE","2626 HYLAN BLVD # 11","STATEN ISLAND",40.567614,-74.112437
141,"EMPIRE STATE BANK","1361 N RAILROAD AVE","STATEN ISLAND",40.575047,-74.115576
142,"CHASE","200 NEW DORP LN","STATEN ISLAND",40.57299,-74.114577
143,"S I BANK & TRUST","257 NEW DORP LN","STATEN ISLAND",40.572592,-74.113592
144,"INDEPENDENCE COMMUNITY BANK","260 NEW DORP LN","STATEN ISLAND",40.5724389,-74.113558
145,"RICHMOND COUNTY SAVINGS BANK","2424 HYLAN BLVD","STATEN ISLAND",40.5719629,-74.108076
146,"CHASE","1657 RICHMOND RD","STATEN ISLAND",40.589621,-74.101357
147,"HUDSON CITY SAVINGS BANK","1591 RICHMOND RD","STATEN ISLAND",40.590979,-74.100954
148,"SIB & T","1550 RICHMOND RD","STATEN ISLAND",40.592595,-74.100736
149,"STATEN ISLAND SAVINGS BANK","1630 RICHMOND RD","STATEN ISLAND",40.590128,-74.100822
150,"SOVERGIEN BANK","1630 RICHMOND RD","STATEN ISLAND",40.590128,-74.100822
151,"SIGNATURE BANK","2066 HYLAN BLVD","STATEN ISLAND",40.579803,-74.10015
152,"CAPITAL ONE BANK","2083 HYLAN BLVD","STATEN ISLAND",40.579527,-74.100698
153,"HUDSON CITY SAVINGS BANK","2212 HYLAN BLVD","STATEN ISLAND",40.576849,-74.103271
154,"CITIBANK","1492 HYLAN BLVD","STATEN ISLAND",40.592139,-74.087332
155,"RICHMOND COUNTY SAVINGS BANK","1833 HYLAN BLVD","STATEN ISLAND",40.584618,-74.094285
156,"CHASE","1690 HYLAN BLVD","STATEN ISLAND",40.587583,-74.091082
157,"VICTORY STATE BANK","1762 HYLAN BLVD","STATEN ISLAND",40.58622,-74.092268
158,"QUEENS COUNTY SAVINGS BANK","475 SEAVIEW AVE","STATEN ISLAND",40.583499,-74.085768
159,"TD BANK","1540 HYLAN BLVD","STATEN ISLAND",40.591077,-74.087989
160,"PATRIOT NATIONAL BANK","45 W END AVE","NEW YORK",40.773038,-73.989489
161,"LEFT BANK","117 PERRY ST","NEW YORK",40.735101,-74.006672
162,"CHASE","302 W 12TH ST","NEW YORK",40.73726,-74.00468
163,"WELLS FARGO BANK","66 9TH AVE","NEW YORK",40.741585,-74.004729
164,"CITIBANK","322 W 23RD ST","NEW YORK",40.74545,-73.99953
165,"CHASE","475 W 23RD ST","NEW YORK",40.7474289,-74.003394
166,"CAPITAL ONE BANK","401 W 23RD ST","NEW YORK",40.746577,-74.00138
167,"MARATHON BANK","250 9TH AVE","NEW YORK",40.74784,-73.999601
168,"FIFTH THIRD BANK","5 PENN PLZ # 2300","NEW YORK",40.751891,-73.993776
169,"CHASE","2 PENN PLZ","NEW YORK",40.7520339,-73.993234
170,"SIGNATURE BANK","2 PENN PLZ # 1712","NEW YORK",40.7520339,-73.993234
171,"BANK OF NEW YORK MELLON","330 W 38TH ST","NEW YORK",40.75524,-73.993501
172,"BANK OF AMERICA","625 8TH AVE","NEW YORK",40.756158,-73.990653
173,"CHASE","615 8TH AVE","NEW YORK",40.755889,-73.990849
174,"CHASE","601 8TH AVE # 1","NEW YORK",40.75565,-73.991351
175,"MANUFACTURERS HANOVER TRUST CO","530 FASHION AVE","NEW YORK",40.75409,-73.988861
176,"CAPITAL ONE BANK","520 8TH AVE # F","NEW YORK",40.75357,-73.991861
177,"CHASE","498 FASHION AVE # A","NEW YORK",40.75284,-73.990031
178,"STERLING NATIONAL BANK","512 FASHION AVE","NEW YORK",40.75343,-73.989281
179,"STERLING NATIONAL BANK","500 FASHION AVE # 10A","NEW YORK",40.7534199,-73.989691
180,"MIDDLE MARKET BANKING","500 FASHION AVE # 3","NEW YORK",40.7534199,-73.989691
181,"CITIBANK","201 W 34TH ST # 2","NEW YORK",40.75105,-73.990604
182,"TD BANK","469 FASHION AVE","NEW YORK",40.75191,-73.989431
183,"TD BANK","200 W 26TH ST # 2","NEW YORK",40.7458399,-73.994811
184,"CHASE","305 7TH AVE","NEW YORK",40.74662,-73.993431
185,"AMALGAMATED BANK","275 7TH AVE # 2","NEW YORK",40.7455299,-73.994141
186,"CAPITAL ONE BANK","370 7TH AVE # 4","NEW YORK",40.74891,-73.992541
187,"EMIGRANT SAVINGS BANK","371 7TH AVE # A","NEW YORK",40.74869,-73.991631
188,"SONNENSCHEIN SHERMAN & DEUTSCH","370 7TH AVE","NEW YORK",40.74891,-73.992541
189,"CAPITAL ONE BANK","1 PENN PLZ # 8","NEW YORK",40.75055,-73.991512
190,"BANK OF AMERICA","1 PENN PLZ","NEW YORK",40.75055,-73.991512
191,"HUDSON VALLEY BANK","112 W 34TH ST # 1903","NEW YORK",40.74981,-73.98901
192,"SAEHAN BANK","875 AVENUE OF THE AMERICAS","NEW YORK",40.74821,-73.989341
193,"VALLEY NATIONAL BANK","776 AVENUE OF THE AMERICAS # 6","NEW YORK",40.74491,-73.990761
194,"BANK OF AMERICA","800 AVENUE OF THE AMERICAS","NEW YORK",40.74552,-73.990461
195,"HSBC BANK","800 AVENUE OF THE AMERICAS","NEW YORK",40.74552,-73.990461
196,"CHASE","158 W 14TH ST # 2","NEW YORK",40.738067,-73.998674
197,"FIRST AMERICAN INTL BANK","41 W 8TH ST # 1","NEW YORK",40.73328,-73.998231
198,"TD BANK","122 GREENWICH AVE # 1","NEW YORK",40.738813,-74.002351
199,"BANK OF AMERICA","224 W 4TH ST","NEW YORK",40.734007,-74.002971
200,"VALLEY NATIONAL BANK","157 8TH AVE","NEW YORK",40.74223,-74.001031
201,"SOVEREIGN BANK","169 7TH AVE","NEW YORK",40.74219,-73.996956
202,"NORTH EAST COMMUNITY BANK","242 W 23RD ST","NEW YORK",40.744574,-73.996912
203,"EMIGRANT SAVINGS BANK","250 W 23RD ST","NEW YORK",40.74464,-73.997701
204,"BANK OF AMERICA","127 8TH AVE","NEW YORK",40.74144,-74.001671
205,"CAPITAL ONE BANK","144 8TH AVE","NEW YORK",40.74163,-74.000721
206,"CHASE","111 8TH AVE # 1","NEW YORK",40.740714,-74.00191
207,"HSBC BANK","80 8TH AVE # 1","NEW YORK",40.73986,-74.002031
208,"BANK OF NEW YORK","111 8TH AVE # 14","NEW YORK",40.740714,-74.00191
209,"WELLS FARGO BANK","120 7TH AVE","NEW YORK",40.740595,-73.998281
210,"PEOPLE'S UNITED BANK","127 7TH AVE","NEW YORK",40.74074,-73.997721
211,"BANK OF AMERICA","670 AVENUE OF THE AMERICAS","NEW YORK",40.74137,-73.993541
212,"CAPITAL ONE BANK","120 W 23RD ST # 2","NEW YORK",40.743121,-73.993476
213,"CITIBANK","717 AVENUE OF THE AMERICAS","NEW YORK",40.743089,-73.992757
214,"CHASE","611 AVENUE OF THE AMERICAS # 1","NEW YORK",40.739807,-73.995139
215,"CHASE","245 7TH AVE # 1","NEW YORK",40.744755,-73.99508
216,"CHASE","71 W 23RD ST # 3","NEW YORK",40.742544,-73.991807
217,"CITIBANK","1107 BROADWAY # 1","NEW YORK",40.742583,-73.989288
218,"CHASE","162 5TH AVE # 1","NEW YORK",40.74058,-73.990811
219,"KEY BANK","11 E 22ND ST # B","NEW YORK",40.740535,-73.989102
220,"M&T BANK","200 5TH AVE","NEW YORK",40.7419209,-73.989348
221,"VALLEY NATIONAL BANK","924 BROADWAY # 1","NEW YORK",40.73994,-73.98922
222,"SIGNATURE BANK","200 PARK AVE S # 501","NEW YORK",40.73692,-73.989181
223,"CAPITAL ONE BANK","31 E 17TH ST","NEW YORK",40.7372,-73.98962
224,"CITIBANK","72 5TH AVE","NEW YORK",40.735358,-73.994157
225,"AMALGAMATED BANK","10 E 14TH ST","NEW YORK",40.73536,-73.993221
226,"CHASE","90 5TH AVE # 2","NEW YORK",40.736374,-73.993432
227,"COMMERCE BANK","90 5TH AVE # 1","NEW YORK",40.736374,-73.993432
228,"CHASE","69 5TH AVE # A","NEW YORK",40.7361499,-73.9932
229,"BANK OF AMERICA","116 5TH AVE","NEW YORK",40.737921,-73.992294
230,"CITIBANK","79 5TH AVE # 1","NEW YORK",40.7369499,-73.992381
231,"CHASE","835 BROADWAY","NEW YORK",40.73392,-73.991161
