"id","name","address","city","longitude","latitude"
240,"MAIN & KISSENA PAWN & JEWELRY LLC","412 KNICKERBOCKER AVE","BROOKLYN",-73.9200838868,40.6997265
241,"SUBWAY GOLD JEWELRY CORP","9622 QUEENS BLVD",,-73.8619188198,40.7296992
242,"SHRI DIAMOND INC.","71 W 47TH ST","NEW YORK",-73.9807948954,40.7576612
243,"DE LA ROSA BUY AND SELL INC.","1308 BROADWAY","BROOKLYN",-73.924011565,40.6905423
244,"BIEN JEWELRY CORP.","4606 5TH AVE","BROOKLYN",-74.0080951653,40.6473301
245,"DIAMONDS BY SIAG INC.","13 W 47TH ST","NEW YORK",-73.9789986416,40.756901
246,"EMPIRE GOLD & PAWN DOWNTOWN INC.","135 LAWRENCE ST","BROOKLYN",-73.986211813,40.6919685
247,"ALPHA & OMEGA JEWELRY & ANTIQUES MARKET INC.","4033 162ND ST",,-73.8037123594,40.7618132
248,"DIAMOND JEWELRY I INC.","2356 GRAND CONCOURSE","BRONX",-73.8988536391,40.858775
249,"DIAMOND JEWELRY II INC.","200 DYCKMAN ST","NEW YORK",-73.9268871657,40.8648154
250,"24/7 PAWN SHOP, INC.","1304 BEACH CHANNEL DR",,-73.7552063022,40.6053117
251,"EMPIRE GOLD AND PAWN OF C.I. INC","1614 NEPTUNE AVE","BROOKLYN",-73.9842956355,40.5789813
252,"EMPIRE GOLD & PAWN OF SUNSET INC","4507 5TH AVE","BROOKLYN",-74.007399599,40.6478218
253,"BIG BOY BUYERS LLC","3915 103RD ST",,-73.8630180158,40.7506661
254,"NBJ INC.","359 BROADWAY","BROOKLYN",-73.9554667424,40.7076282
255,"PARADISE JEROME, LLC","3478 JEROME AVE","BRONX",-73.8816820945,40.882246
256,"24 HOURS FAST CASH PAWN SHOP INC.","542 W 207TH ST","NEW YORK",-73.919743904,40.865279
257,"ROBIN'S JEWELRY, INC.","132 DELANCEY ST","NEW YORK",-73.9873207767,40.7184169
258,"EMMANUEL PAWNSHOP INC.","153 E 181ST ST","BRONX",-73.9028776532,40.8548109
259,"N & H RATZON JEWELRY INC.","71 GRAHAM AVE","BROOKLYN",-73.9427274415,40.7040002
260,"ADRIATIC GOLD BUYERS, INC.","9306 LINDEN BLVD",,-73.8431077933,40.673699
261,"GA PAWNSHOP LTD.","685 MALCOLM X BLVD",,-73.9367287356,40.8199813
262,"CROWN PAWN SHOP CORP","74 GRAHAM AVE","BROOKLYN",-73.9425073421,40.7035584
263,"BENNY'S VENTURES INC.","8921 165TH ST",,-73.7962088926,40.7076789
264,"BORRO L1 INC.","767 3RD AVE","NEW YORK",-73.9718195541,40.7542624
265,"ALEX PAWNBROKER, INC.","617 MELROSE AVE","BRONX",-73.9171326145,40.8176478
266,"TOP PRICE FOR GOLD AND SILVER INC.","73 W 47TH ST","NEW YORK",-73.9808568359,40.7576875
267,"PAWNIT 69 LTD.","69 FEATHERBED LN","BRONX",-73.9172227116,40.8464242
268,"FRANKIE'S 5 ANGELS VARIETY STORE, LLC","9 GRANITE ST","BROOKLYN",-73.9083315415,40.6820857
269,"KUKULYNA INC.","2333 HYLAN BLVD","STATEN ISLAND",-74.1063056669,40.5739905
270,"YOUR OPTIMAL SOLUTION INC.","10217 METROPOLITAN AVE",,-73.8509022629,40.7104129
271,"JEWELRY EX CORP.","2015 CONEY ISLAND AVE","BROOKLYN",-73.9619446464,40.6081119
272,"DUNLOP, WINSTON","1242 OGDEN AVE","BRONX",-73.925788578,40.8390789
273,"ILYA'S GOLD MARKET CORP","3920 BROADWAY","NEW YORK",-73.9415021186,40.8383734
274,"SELL AND PAWN INC.","9114B 59TH AVE",,-73.8699447306,40.73385
275,"SELL AND PAWN INC.","9114B 59TH AVE",,-73.8699968734,40.7339524
276,"SELL AND PAWN INC.","2807 STEINWAY ST",,-73.9136780549,40.7654037
277,"EMPIRE GOLD AND PAWN OF GAP INC.","13827 BROOKVILLE BLVD",,-73.7368760303,40.6682545
278,"K & J PAWN SHOP INC.","836 BROADWAY","BROOKLYN",-73.9391640987,40.6991095
279,"PAWNIT 1102 CORP.","1352 WHITE PLAINS RD","BRONX",-73.8629697204,40.8348892
280,"SELL AND PAWN INC.","10801 ROCKAWAY BLVD",,-73.8310542986,40.6782023
281,"JM WHOLESALE CORP.","3309 FULTON ST","BROOKLYN",-73.8734217382,40.6833575
282,"JBOFAMERICA LLC","15 W 47TH ST","NEW YORK",-73.9790605807,40.7569273
283,"WD 2834 INC.","2834 CONEY ISLAND AVE","BROOKLYN",-73.9604285555,40.5873932
284,"F&C JEWELRY PAWNSHOP INC.","3801 WHITE PLAINS RD","BRONX",-73.8628585824,40.8836166
285,"COMMUNITY PAWNBROKERS UTICA LLC","1163 UTICA AVE","BROOKLYN",-73.9295101929,40.64427
286,"GENERATION JEWELERS LLC","6370 WOODHAVEN BLVD",,-73.8683699788,40.723149
287,"LOANSRUS LTD.","575 W 181ST ST","NEW YORK",-73.9331468283,40.8491384
288,"JACKSON HEIGHTS MARKET INC.","8307 37TH AVE",,-73.8833619485,40.7499023
289,"SEAPOD CAPITAL GROUP, LLC","9402 80TH ST",,-73.8608315629,40.6846256
290,"EZ PAWN CORP.","25306 ROCKAWAY BLVD",,-73.7403560809,40.6360856
291,"SUNSHINE PAWN BROKER INC.","26 W 125TH ST","NEW YORK",-73.9431929108,40.8067449
