"id","name","address","city","latitude","longitude"
130,"Cash Marketing ATM","2596 Linden Blvd","Brooklyn",40.668405,-73.86865
131,"Pay-O-Matic","254 Livonia Ave","Brooklyn",40.66251,-73.908143
132,"Pay-O-Matic","254 Kingston Ave","Brooklyn",40.670823,-73.942394
133,"Checks & More","252 9th St","Brooklyn",40.670242,-73.989098
134,"R & M Check Cashing Corp","25 Willoughby St","Brooklyn",40.6923,-73.987594
135,"Quick Cash Inc","25 Putnam Ave","Brooklyn",40.682827,-73.960893
136,"Cash To Go Atm LLC","25 Bond St","Brooklyn",40.688861,-73.983263
137,"Pay-O-Matic","2488 Linden Blvd","Brooklyn",40.666296,-73.871778
138,"Alivad Associates","2471 84th St","Brooklyn",40.599406,-73.986108
139,"Abrs Check Cashing","241 Rockaway Pkwy # C","Brooklyn",40.661385,-73.920054
140,"Fast Cash Enterprises Inc","24 Joralemon St","Brooklyn",40.693776,-73.998889
141,"I & B Check Cashing","2346 Flatbush Ave","Brooklyn",40.61272,-73.926369
142,"Pay-O-Matic","2323 Mermaid Ave","Brooklyn",40.576214,-73.990906
143,"S & E Check Cashing Corp","2304 86th St","Brooklyn",40.600467,-73.991502
144,"Checks & More","230 Flatbush Ave","Brooklyn",40.68045,-73.97522
145,"Maxilink Enterprise Inc","229 Malcolm X Blvd","Brooklyn",40.68512,-73.929199
146,"All Island Cash Svc","228 Albany Ave","Brooklyn",40.672717,-73.939148
147,"Cash Unlimited","226 Utica Ave","Brooklyn",40.671036,-73.931221
148,"Roebling Check Cashing","224 Broadway","Brooklyn",40.709384,-73.960816
149,"Pay-O-Matic","2193 Bedford Ave","Brooklyn",40.650337,-73.955544
150,"Shettlewood Inc","2190 Pitkin Ave","Brooklyn",40.672287,-73.891548
151,"Community Financial Svc Ctr","214 Parkside Ave","Brooklyn",40.655277,-73.960726
152,"Express Payment Ctr","2129 Flatbush Ave","Brooklyn",40.618042,-73.931765
153,"Cash Empire","2120 Nostrand Ave","Brooklyn",40.633677,-73.947992
154,"Pay-O-Matic","2107 Bath Ave","Brooklyn",40.600002,-73.9991
155,"Checks & More","205 5th Ave","Brooklyn",40.676455,-73.980365
156,"Xpress Cash Funding","2004 Mcdonald Ave","Brooklyn",40.603535,-73.972633
157,"P Omatic Check Cashing","1993 Atlantic Ave","Brooklyn",40.676767,-73.916454
158,"Pay-O-Matic","1908 Church Ave # 100","Brooklyn",40.649685,-73.961792
159,"Cash Unlimited","188 Parkside Ave","Brooklyn",40.654888,-73.961205
160,"Pay-O-Matic","1878 Fulton St","Brooklyn",40.678753,-73.924271
161,"Bandco Check Cashing Svc","1826 Nostrand Ave","Brooklyn",40.641312,-73.948881
162,"CLB","1818 Kings Hwy","Brooklyn",40.610146,-73.954921
163,"Money Tree Capital Group","1812 Bath Ave","Brooklyn",40.603451,-74.00589
164,"B Barry Check Cashing","1799 Broadway","Brooklyn",40.682137,-73.908577
165,"Checks & More","1775 Flatbush Ave","Brooklyn",40.626839,-73.940979
166,"Challenger Check Cashing","1772 Ralph Ave # B","Brooklyn",40.6333,-73.919189
167,"Pay-O-Matic","1756 Bushwick Ave","Brooklyn",40.678612,-73.898718
168,"Cash Business Mrktng","1737 Saint Marks Ave","Brooklyn",40.673235,-73.909358
169,"Fast Cash Enterprise Inc","172 Bushwick Ave","Brooklyn",40.70962,-73.940223
170,"York Street Check Cashers","171 Bainbridge St","Brooklyn",40.681275,-73.930351
171,"Checks & More","1708 Atlantic Ave # A","Brooklyn",40.677444,-73.933403
172,"Flatbush Check Cashing Inc","1671 Bedford Ave","Brooklyn",40.665723,-73.956787
173,"Fast Cash USA Inc","166 N 7th St","Brooklyn",40.717594,-73.957433
174,"S E Check Cashing","1650 Bay Ridge Pkwy","Brooklyn",40.615485,-73.999541
175,"Pay-O-Matic","1638 Coney Island Ave","Brooklyn",40.617371,-73.964149
176,"Pay-O-Matic","160 Rockaway Ave","Brooklyn",40.677715,-73.910946
